# bench/history.tsv -- last 5 timings per benchmark (name, unix_ts, secs)
bm_spectral_norm	1784705882	0.167
bm_spectral_norm	1785276021	0.069
bm_splay	1784676641	0.877
bm_splay	1784705885	0.671
bm_splay	1785276023	0.311
bm_str_concat	1784676642	0.019
bm_str_concat	1784705886	0.021
bm_str_concat	1785276023	0.004
bm_structaref	1784676645	0.838
bm_structaref	1784705889	0.730
bm_structaref	1785276025	0.538
bm_structaset	1784676648	0.870
bm_structaset	1784705891	0.773
bm_structaset	1785276027	0.529
bm_sudoku	1784676650	0.429
bm_sudoku	1784705894	0.348
bm_sudoku	1785276030	0.166
bm_tak	1784676652	0.585
bm_tak	1784705896	0.441
bm_tak	1785276032	0.448
bm_tarai	1784676655	0.475
bm_tarai	1784705897	0.363
bm_tarai	1785276034	0.369
bm_template	1784676667	3.667
bm_template	1784705907	3.153
bm_template	1785266627	2.360
bm_template	1785276038	1.361
bm_throw	1784676671	0.556
bm_throw	1784705908	0.265
bm_throw	1785276039	0.161
bm_wordfreq	1784676671	0.024
bm_wordfreq	1784705909	0.029
bm_wordfreq	1785276040	0.007
