# suite=spinel corpus=1819 ruby="ruby 4.0.5 (2026-05-20 revision 64336ffd0e) +PRISM [arm64-darwin25]" spinel-rs=a528f8b
# FAIL_COMPILE=104 FAIL_OUTPUT=599 FAIL_RUN=1 FAIL_RUSTC=9 PASS=1104 TIMEOUT_RUN=2
at_exit_lifo	PASS	-	-
attr	PASS	-	-
attr_override_dispatch	PASS	-	-
back_ref	FAIL_COMPILE	compile	spike-misc
bang_exception_object	FAIL_OUTPUT	expect	missing-builtin-method
bang_op_ruby_truthy	PASS	-	-
bare_arg_in_module_body	PASS	-	-
bare_module_body_cmethod_call	PASS	-	-
bare_rescue_standard_error_only	PASS	-	-
bare_return_in_initialize	FAIL_OUTPUT	expect	-
bare_sibling_cls_method_call	PASS	-	-
bareword_freeze	PASS	-	-
begin_rescue_as_expression	PASS	-	-
begin_rescue_else_clause	FAIL_OUTPUT	expect	-
bigint_div_by_zero	PASS	-	-
bigint_literal	PASS	-	-
bigint_literal_pow	PASS	-	-
bigint_poly_arith	PASS	-	-
bigint_poly_container	PASS	-	-
bigint_pow_shift	PASS	-	-
bigint_propagation_chain	PASS	-	-
bigint_return_int_literal	PASS	-	-
bigint_volatile_combo	PASS	-	-
bignum_bit_length	PASS	-	-
bignum_downto_upto_to_a	FAIL_OUTPUT	expect	auto-d04215d7
bignum_query_to_i	PASS	-	-
bignum_rational_arith	PASS	-	-
bignum_rational_basic	FAIL_OUTPUT	expect	missing-builtin-method
bignum_receiver_bitwise	PASS	-	-
bignum_receiver_methods	FAIL_OUTPUT	expect	auto-02ee698a
bignum_recv_int_ord_float_toi	FAIL_OUTPUT	expect	-
bignum_to_f	PASS	-	-
binary_string_length_bytes	FAIL_OUTPUT	expect	missing-builtin-method
binding_lvget	FAIL_OUTPUT	expect	missing-builtin-method
bitwise_mask_over_int64	PASS	-	-
block2	PASS	-	-
block_autosplat	PASS	-	-
block_autosplat_collectors	PASS	-	-
block_autosplat_minmax_group	PASS	-	-
block_forward	PASS	-	-
block_forward_block_arg	PASS	-	-
block_forward_map	PASS	-	-
block_forward_nilcheck	PASS	-	-
block_forward_poly	FAIL_OUTPUT	expect	arity-panic
block_forward_poly_receiver	PASS	-	-
block_forward_recursive_cmethod	PASS	-	-
block_forward_recv_typed	PASS	-	-
block_forward_self_call	PASS	-	-
block_forward_value_callable	PASS	-	-
block_given_block_param	FAIL_OUTPUT	expect	missing-builtin-method
block_given_inline_call_site	PASS	-	-
block_kwrest_param	PASS	-	-
block_local_fresh_per_iteration	FAIL_OUTPUT	expect	-
block_local_shadow	PASS	-	-
block_nil_fill	PASS	-	-
block_optional_unused	PASS	-	-
block_param_call_block_given	PASS	-	-
block_param_call_value_return	PASS	-	-
block_param_destructure	PASS	-	-
block_param_distribution	PASS	-	-
block_param_into_thread	PASS	-	-
block_param_shadow	FAIL_OUTPUT	expect	-
block_param_sibling_collision	FAIL_COMPILE	compile	spike-misc
block_splat_param	PASS	-	-
block_splat_param_iterators	PASS	-	-
block_yield_keyword_param	PASS	-	-
block_yield_optional_param	PASS	-	-
bm_instance_eval	PASS	-	-
bool_case_equality	PASS	-	-
bool_is_a_true_false	PASS	-	-
bool_logical_operators	PASS	-	-
bound_method_gc	FAIL_OUTPUT	expect	missing-builtin-method
bound_method_obj_recv	PASS	-	-
bound_method_single_eval	PASS	-	-
box_nullable_builtin	PASS	-	-
box_nullable_obj	PASS	-	-
box_pointer_to_poly	PASS	-	-
box_unbox_local_assign_cond	PASS	-	-
boxed_nil_string_identity	FAIL_OUTPUT	expect	-
bsearch_find_any_mixed	FAIL_OUTPUT	expect	missing-builtin-method
builtin_array_method_capture	PASS	-	-
bundle_array_a	FAIL_OUTPUT	expect	missing-builtin-method
bundle_array_b	FAIL_OUTPUT	expect	auto-7c6fb6fc
bundle_array_c	PASS	-	-
bundle_array_d	FAIL_OUTPUT	expect	missing-builtin-method
bundle_array_e	FAIL_OUTPUT	expect	missing-builtin-method
bundle_array_f	PASS	-	-
bundle_class_01	PASS	-	-
bundle_class_03	PASS	-	-
bundle_class_05	PASS	-	-
bundle_class_06	PASS	-	-
bundle_class_07	PASS	-	-
bundle_class_08	PASS	-	-
bundle_class_09	PASS	-	-
bundle_class_10	PASS	-	-
bundle_class_11	PASS	-	-
bundle_class_12	PASS	-	-
bundle_class_13	PASS	-	-
bundle_class_14	FAIL_RUSTC	compile	rustc-failure
bundle_class_15	PASS	-	-
bundle_class_18	PASS	-	-
bundle_class_19	PASS	-	-
bundle_class_20	PASS	-	-
bundle_class_21	PASS	-	-
bundle_class_22	FAIL_OUTPUT	expect	missing-builtin-method
bundle_class_23	FAIL_OUTPUT	expect	missing-builtin-method
bundle_class_a	PASS	-	-
bundle_classd_04	FAIL_COMPILE	compile	spike-misc
bundle_classd_05	PASS	-	-
bundle_classd_08	PASS	-	-
bundle_classd_09	PASS	-	-
bundle_classd_10	FAIL_OUTPUT	expect	missing-core-const
bundle_classd_11	FAIL_COMPILE	compile	spike-misc
bundle_classd_12	FAIL_OUTPUT	expect	missing-core-const
bundle_classd_13	FAIL_COMPILE	compile	spike-misc
bundle_classd_14	PASS	-	-
bundle_classd_17	PASS	-	-
bundle_classd_18	PASS	-	-
bundle_classd_19	FAIL_OUTPUT	expect	missing-builtin-method
bundle_classd_26	PASS	-	-
bundle_classd_27	PASS	-	-
bundle_classd_28	PASS	-	-
bundle_classd_32	PASS	-	-
bundle_classd_33	PASS	-	-
bundle_classd_35	PASS	-	-
bundle_classd_36	PASS	-	-
bundle_classd_38	PASS	-	-
bundle_classd_39	PASS	-	-
bundle_classd_43	FAIL_OUTPUT	expect	missing-builtin-method
bundle_classd_45	PASS	-	-
bundle_classd_46	PASS	-	-
bundle_classd_48	PASS	-	-
bundle_classd_49	PASS	-	-
bundle_classd_50	PASS	-	-
bundle_classd_51	PASS	-	-
bundle_file_a	FAIL_OUTPUT	expect	missing-builtin-method
bundle_hash	FAIL_COMPILE	compile	spike-misc
bundle_hash_b1	PASS	-	-
bundle_hash_b2	FAIL_OUTPUT	expect	missing-builtin-method
bundle_int_a	PASS	-	-
bundle_int_array	PASS	-	-
bundle_integer	FAIL_OUTPUT	expect	missing-builtin-method
bundle_io_sys	FAIL_COMPILE	compile	auto-2d4c0f69
bundle_misc_a	FAIL_OUTPUT	expect	missing-builtin-method
bundle_misc_b	FAIL_COMPILE	compile	spike-misc
bundle_misc_c_08	FAIL_OUTPUT	expect	missing-builtin-method
bundle_misc_c_09	FAIL_OUTPUT	expect	missing-builtin-method
bundle_misc_c_10	FAIL_OUTPUT	expect	missing-builtin-method
bundle_misc_c_17	FAIL_OUTPUT	expect	missing-builtin-method
bundle_misc_c_23	FAIL_OUTPUT	expect	auto-52e6d3e6
bundle_misc_c_26	FAIL_OUTPUT	expect	auto-7d203286
bundle_misc_c_30	PASS	-	-
bundle_misc_c_31	FAIL_OUTPUT	expect	missing-builtin-method
bundle_misc_c_33	FAIL_COMPILE	compile	auto-8e5c856a
bundle_misc_c_34	FAIL_COMPILE	compile	auto-8e5c856a
bundle_misc_c_35	PASS	-	-
bundle_misc_c_36	FAIL_OUTPUT	expect	missing-builtin-method
bundle_misc_c_37	FAIL_RUSTC	compile	rustc-failure
bundle_poly	PASS	-	-
bundle_poly_b1	PASS	-	-
bundle_string_a	PASS	-	-
bundle_string_b	FAIL_OUTPUT	expect	missing-builtin-method
bundle_string_c	FAIL_OUTPUT	expect	missing-builtin-method
bundle_sym	FAIL_COMPILE	compile	spike-misc
bundle_tiny_array	FAIL_OUTPUT	expect	missing-builtin-method
bundle_tiny_misc	FAIL_OUTPUT	expect	missing-core-const
bundle_tiny_num	FAIL_OUTPUT	expect	missing-builtin-method
bundle_tiny_string	FAIL_OUTPUT	expect	arity-panic
call_and_write	PASS	-	-
call_arg_int_to_obj_cast	PASS	-	-
call_op_write_poly_recv	PASS	-	-
call_or_write	PASS	-	-
call_splat_positional	FAIL_OUTPUT	expect	arity-panic
caller_locations	FAIL_OUTPUT	expect	missing-builtin-method
captured_block_call_value	PASS	-	-
case	PASS	-	-
case_eq_scalar_poly_arg	PASS	-	-
case_fallthrough_returns_nil	PASS	-	-
case_in_deconstruct	PASS	-	-
case_in_deconstruct_absent	PASS	-	-
case_in_deconstruct_keys	PASS	-	-
case_in_guard_binding	PASS	-	-
case_in_guard_bindings	PASS	-	-
case_in_hash_binding	PASS	-	-
case_in_hash_pattern	PASS	-	-
case_in_hash_pattern_object	FAIL_COMPILE	compile	unknown-class
case_in_matchdata_deconstruct	FAIL_OUTPUT	expect	pattern-shapes
case_in_mixed_result_type	PASS	-	-
case_in_nested_array	PASS	-	-
case_in_no_match_error	PASS	-	-
case_in_range_pattern	FAIL_OUTPUT	expect	auto-0b8761b3
case_in_value_nested_array	PASS	-	-
case_in_value_position	PASS	-	-
case_local_in_lambda	PASS	-	-
case_string_when_sym_no_match	PASS	-	-
case_value_untaken_arm_effects	PASS	-	-
case_when_class	PASS	-	-
