#! Accepted divergences from conformance/builtin-arity.tsv.
#! Every row needs a reason, and only two kinds may appear:
#! `zeo-only` (zeo defines a method CRuby has nowhere in the chain) and
#! `oracle-missing` (the dump could not reach the class at all). An arity
#! that simply disagrees with the oracle is a BUG in the parameter list --
#! it fails the test and cannot be recorded here. Regenerate with
#! `ZEO_BLESS=1 cargo nextest run -p zeo --test builtin_arity`.
#! tag	class	kind	name	reason
zeo-only	Readline	s	completer_quote_characters=	no completer_quote_characters= in CRuby's chain
zeo-only	Readline	s	completer_word_break_characters	no completer_word_break_characters in CRuby's chain
zeo-only	Readline	s	completer_word_break_characters=	no completer_word_break_characters= in CRuby's chain
zeo-only	Readline	s	completion_append_character	no completion_append_character in CRuby's chain
zeo-only	Readline	s	completion_append_character=	no completion_append_character= in CRuby's chain
zeo-only	Readline	s	completion_case_fold	no completion_case_fold in CRuby's chain
zeo-only	Readline	s	completion_case_fold=	no completion_case_fold= in CRuby's chain
zeo-only	Readline	s	completion_proc	no completion_proc in CRuby's chain
zeo-only	Readline	s	completion_proc=	no completion_proc= in CRuby's chain
zeo-only	Readline	s	emacs_editing_mode	no emacs_editing_mode in CRuby's chain
zeo-only	Readline	s	emacs_editing_mode?	no emacs_editing_mode? in CRuby's chain
zeo-only	Readline	s	filename_quote_characters	no filename_quote_characters in CRuby's chain
zeo-only	Readline	s	filename_quote_characters=	no filename_quote_characters= in CRuby's chain
zeo-only	Readline	s	input=	no input= in CRuby's chain
zeo-only	Readline	s	output=	no output= in CRuby's chain
zeo-only	Readline	s	pre_input_hook	no pre_input_hook in CRuby's chain
zeo-only	Readline	s	pre_input_hook=	no pre_input_hook= in CRuby's chain
zeo-only	Readline	s	special_prefixes	no special_prefixes in CRuby's chain
zeo-only	Readline	s	special_prefixes=	no special_prefixes= in CRuby's chain
zeo-only	Readline	s	vi_editing_mode	no vi_editing_mode in CRuby's chain
zeo-only	Readline	s	vi_editing_mode?	no vi_editing_mode? in CRuby's chain
zeo-only	Regexp	i	linear_time?	no linear_time? in CRuby's chain
zeo-only	Set	i	contain?	no contain? in CRuby's chain
zeo-only	Set	i	merge_new	no merge_new in CRuby's chain
zeo-only	StringIO	i	<<	no << in CRuby's chain
zeo-only	StringIO	i	readbyte	no readbyte in CRuby's chain
zeo-only	Struct	s	[]	no [] in CRuby's chain
zeo-only	Syslog	s	LOG_MASK	no LOG_MASK in CRuby's chain
zeo-only	Syslog	s	LOG_UPTO	no LOG_UPTO in CRuby's chain
zeo-only	Thread::Queue	i	max	no max in CRuby's chain
zeo-only	Thread::Queue	i	max=	no max= in CRuby's chain
oracle-missing	FFI	s	errno	FFI is absent from the pinned oracle
oracle-missing	FFI	s	errno=	FFI is absent from the pinned oracle
oracle-missing	FFI::DynamicLibrary	i	find_function	FFI::DynamicLibrary is absent from the pinned oracle
oracle-missing	FFI::DynamicLibrary	i	find_variable	FFI::DynamicLibrary is absent from the pinned oracle
oracle-missing	FFI::DynamicLibrary	i	name	FFI::DynamicLibrary is absent from the pinned oracle
oracle-missing	FFI::DynamicLibrary	s	open	FFI::DynamicLibrary is absent from the pinned oracle
oracle-missing	FFI::Function	i	call	FFI::Function is absent from the pinned oracle
oracle-missing	FFI::Function	i	free	FFI::Function is absent from the pinned oracle
oracle-missing	FFI::Function	s	new	FFI::Function is absent from the pinned oracle
